"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh"
"1","HS",0.95,0.5,"median",-0.398561690031437,-0.343903424632588,-0.31463886058458,-0.283612937092322,-0.229091012997952
"2","LOC",0.95,0.5,"median",-0.296144846215151,-0.239289017592145,-0.209386726763592,-0.178806393904782,-0.120946337420518
"3","Medium-Easy",0.95,0.5,"median",-0.295892401741589,-0.25167391362906,-0.228509277972135,-0.205127300890136,-0.157319072170672
"4","Hard-Medium",0.95,0.5,"median",-0.379020203932699,-0.324431576376046,-0.297530345228048,-0.271345030983704,-0.217000745247047
"5","Group2vs1",0.95,0.5,"median",-0.0540360288087671,-0.00134792315160725,0.0273939229820818,0.0554327479589443,0.111973276846447
"6","Group3vs2",0.95,0.5,"median",0.133561572218425,0.178999969007521,0.204595798916274,0.229360782089886,0.275027358196399
"7","HS*Med-Easy",0.95,0.5,"median",-0.131170048968287,0.00361754557627384,0.0679455779136584,0.131270808411674,0.262324096308978
"8","LOC*Med-Easy",0.95,0.5,"median",-0.031715507105717,0.089221902042832,0.154610437734359,0.219920270024969,0.348469167803354
"9","HS*Hard-Med",0.95,0.5,"median",-0.135696319327718,0.00251744743830681,0.080120405688589,0.15436624982205,0.298786920986215
"10","LOC*Hard-Med",0.95,0.5,"median",-0.0734978725544243,0.072849314272613,0.147359136790202,0.221556271332358,0.363072980172275
"11","HS*Group2vs1",0.95,0.5,"median",-0.260311756488028,-0.106482568103034,-0.0202508945807452,0.0603217759221553,0.218881050512996
"12","LOC*Group2vs1",0.95,0.5,"median",-0.153873665915337,0.00302398390321412,0.086704798729091,0.164431466957047,0.324906965773129
"13","HS*Group3vs2",0.95,0.5,"median",-0.168995843249986,-0.0285231976125294,0.0460189415941438,0.117982305093669,0.252238512069233
"14","LOC*Group3vs2",0.95,0.5,"median",-0.17240686973805,-0.0345552791833651,0.0367504591449802,0.108517821146523,0.242537282446362
"15","Med-Easy*Group2vs1",0.95,0.5,"median",-0.165015161756566,-0.041379829372161,0.021793186345495,0.0843475852202073,0.208039291160509
"16","Hard-Med*Group2vs1",0.95,0.5,"median",-0.220702840953342,-0.0730901212431894,-0.00128522791029537,0.0726082590981394,0.216800909012846
"17","Med-Easy*Group3vs2",0.95,0.5,"median",-0.235033088636639,-0.134054526745558,-0.0793791384198446,-0.0252223010846461,0.0795710326780015
"18","Hard-Med*Group3vs2",0.95,0.5,"median",-0.157982861501551,-0.0282058322068031,0.0355659198882688,0.0953723997073808,0.219675272971125
