"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh"
"1","HS",0.95,0.5,"median",-0.396499389988247,-0.339863972107077,-0.310590022689108,-0.280537283218798,-0.224440707166579
"2","LOC",0.95,0.5,"median",-0.285079088481057,-0.229690478162146,-0.199969447812157,-0.171656345217311,-0.120628235743822
"3","Medium-Easy",0.95,0.5,"median",-0.301547606021938,-0.259196939721443,-0.237456131627309,-0.214882941406897,-0.170360890738806
"4","Hard-Medium",0.95,0.5,"median",-0.369811356187707,-0.320290037026996,-0.294299429446386,-0.267698479190755,-0.2168387820402
"5","Native",0.95,0.5,"median",0.187497362184879,0.226048240632266,0.246273693667959,0.265969875871815,0.302832411022913
"6","HS*Med-Easy",0.95,0.5,"median",-0.12044828420777,0.00197735857964931,0.0673826563721897,0.132844436509011,0.254633218179796
"7","LOC*Med-Easy",0.95,0.5,"median",-0.039629943375829,0.0938959631580665,0.155882138855314,0.219791800196048,0.347055070885348
"8","HS*Hard-Med",0.95,0.5,"median",-0.14085174960338,0.00481482515345647,0.0809224707239959,0.155177644276038,0.300000374818483
"9","LOC*Hard-Med",0.95,0.5,"median",-0.0717311039984602,0.072009550092392,0.14568006744141,0.217527213527416,0.359818058544201
"10","HS*Native",0.95,0.5,"median",-0.0866991030232773,0.0186667104238114,0.0738771927783293,0.131450576268631,0.248841760660369
"11","LOC*Native",0.95,0.5,"median",-0.0977323125935805,0.0110663047569037,0.0665920590006984,0.123762708161292,0.229050544696858
"12","Med-Easy*Native",0.95,0.5,"median",-0.191310862754069,-0.105599442837337,-0.0620733404429204,-0.0197208340029083,0.0603368898372838
"13","Hard-Med*Native",0.95,0.5,"median",-0.0966332786392399,-0.000111881283557121,0.0500982813934393,0.101593150447422,0.198031691308218
