"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh"
"1","Native",0.95,0.5,"median",0.187763033051643,0.206434304179624,0.215754129518502,0.225728801149254,0.244271071473739
"2","20s-10s",0.95,0.5,"median",0.290382282584044,0.327532622218994,0.347938657853068,0.369018879661045,0.409171617594715
"3","30s-20s",0.95,0.5,"median",0.145563038488453,0.179392561473377,0.197387974142827,0.215252568215348,0.249326846273835
"4","40s-30s",0.95,0.5,"median",0.104589858595435,0.136432136323071,0.152155332456586,0.168081973282053,0.197750143714446
"5","50s-40s",0.95,0.5,"median",0.0650835535929759,0.0936636957511775,0.107729239510435,0.122799877348422,0.151303181550425
"6","60s-50s",0.95,0.5,"median",0.029881389268563,0.0570751405020231,0.0714009992841482,0.0859488388158382,0.113674231232339
"7","Native*20s-10s",0.95,0.5,"median",-0.0925888609931793,-0.0190715682770461,0.0187306506581411,0.0552656936726005,0.132688602081872
"8","Native*30s-20s",0.95,0.5,"median",-0.0760091375802403,-0.0148112401834023,0.0187057442785731,0.0515568312610723,0.114603290238147
"9","Native*40s-30s",0.95,0.5,"median",-0.0836933321442803,-0.0255155650909377,0.0048834748507651,0.0357676960913808,0.0961769171478921
"10","Native*50s-40s",0.95,0.5,"median",-0.0771349740576348,-0.0224351740563688,0.00792470094541425,0.0364223295473718,0.0910834619764277
"11","Native*60s-50s",0.95,0.5,"median",-0.0649931968669291,-0.0120670579371439,0.015893220451178,0.0439287784099112,0.0951683465931392
