"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh"
"1","HS",0.95,0.5,"median",-0.400155421543802,-0.341688516361914,-0.310497860604276,-0.281170477216638,-0.22585515333871
"2","LOC",0.95,0.5,"median",-0.281382171606687,-0.227816664442333,-0.199257007178698,-0.170752320341255,-0.115677780245415
"3","Medium-Easy",0.95,0.5,"median",-0.304670347039924,-0.261141649804329,-0.238649347323284,-0.216276476880138,-0.171706616512492
"4","Hard-Medium",0.95,0.5,"median",-0.370143973477719,-0.318931545717232,-0.291821144175963,-0.266444447877914,-0.218811105472989
"5","Native",0.95,0.5,"median",0.188787872134141,0.225642368021603,0.246768197304211,0.268210349358369,0.305909000942081
"6","HS*Med-Easy",0.95,0.5,"median",-0.135729341583365,-0.00791723900999773,0.0605317422637489,0.126858886188596,0.252082384448727
"7","LOC*Med-Easy",0.95,0.5,"median",-0.033269963932129,0.094248198226005,0.164131169319926,0.225641502436375,0.357502411936326
"8","HS*Hard-Med",0.95,0.5,"median",-0.133143963138651,0.00439971146455558,0.0783505537627431,0.156371519423045,0.298099425561626
"9","LOC*Hard-Med",0.95,0.5,"median",-0.0728965656267482,0.0741941997046391,0.150593273045848,0.223287750919007,0.367554889425266
"10","HS*Native",0.95,0.5,"median",-0.0793271142750687,0.0267893415072075,0.0836525170304431,0.141074471898515,0.253314407992473
"11","LOC*Native",0.95,0.5,"median",-0.105307280115575,0.0035941555138467,0.0596166231839734,0.117807770335444,0.223864146192103
"12","Med-Easy*Native",0.95,0.5,"median",-0.185854397539568,-0.102468983319956,-0.0574857140080312,-0.0110064782665601,0.0763564267486571
"13","Hard-Med*Native",0.95,0.5,"median",-0.108778474526619,-0.00640836737413039,0.0448501350101791,0.0981492296150091,0.193176899359733
"14","HS*M-E*Native",0.95,0.5,"median",-0.261216327625659,-0.000419960581018532,0.128172820195552,0.2617435401038,0.512387992475848
"15","LOC*M-E*Native",0.95,0.5,"median",-0.430715321503907,-0.179022302851202,-0.051013034432353,0.0891460837636129,0.328069125183016
"16","HS*H-M*Native",0.95,0.5,"median",-0.454495833991817,-0.171523644164257,-0.0261233820426744,0.125026482562559,0.438355804841671
"17","LOC*H-M*Native",0.95,0.5,"median",-0.511400617999918,-0.221332940670066,-0.0718798835776872,0.0863402210542499,0.36059267445398
