"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh"
"1","Native",0.95,0.5,"median",0.188098420678361,0.206901825516398,0.216642625263738,0.226736407264659,0.244916631559168
"2","20s-10s",0.95,0.5,"median",0.288652712023034,0.330724160937169,0.3502727360023,0.371007802790446,0.410562412993379
"3","30s-20s",0.95,0.5,"median",0.146663591146295,0.181443432563671,0.198956362623022,0.217523221555708,0.249988902861993
"4","40s-30s",0.95,0.5,"median",0.104669412804853,0.135812228974562,0.152049166866707,0.168878658106784,0.2013930484388
"5","50s-40s",0.95,0.5,"median",0.0658756931673859,0.0944307527164789,0.109943295519658,0.124575358875817,0.153783165192487
"6","60s-50s",0.95,0.5,"median",0.0280917364286497,0.0567560675425731,0.0721356973374118,0.0866490207453575,0.113683543611735
"7","Native*20s-10s",0.95,0.5,"median",-0.0920712795284829,-0.0176331201261829,0.0211996355104485,0.0612684677831208,0.137476235320468
"8","Native*30s-20s",0.95,0.5,"median",-0.0804650192156383,-0.0134545869393632,0.0201173904161433,0.0548949163627465,0.120474146520686
"9","Native*40s-30s",0.95,0.5,"median",-0.0873418912620725,-0.0247709031751535,0.00761442743432872,0.0386169409806958,0.101104860855735
"10","Native*50s-40s",0.95,0.5,"median",-0.0803545701012034,-0.0257520971322578,0.0045696172923656,0.0339756635800865,0.0926704605968552
"11","Native*60s-50s",0.95,0.5,"median",-0.0691389661623194,-0.0134401196893712,0.0164520859838758,0.0450150011066435,0.100608495427745
